=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH

NIFTY    5800  PE   2014-01-30    2014-01-28      2d   10365  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_5800_PE_30_JAN_14.csv
NIFTY    5900  PE   2014-01-30    2014-01-28      2d   11386  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_5900_PE_30_JAN_14.csv
NIFTY    6000  PE   2014-01-30    2014-01-28      2d   12175  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_6000_PE_30_JAN_14.csv
NIFTY    6200  CE   2014-01-30    2014-01-28      2d   11635  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_6200_CE_30_JAN_14.csv
NIFTY    6400  CE   2014-01-30    2014-01-24      6d   11427  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_6400_CE_30_JAN_14.csv
NIFTY    6500  CE   2014-01-30    2014-01-24      6d   11423  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_6500_CE_30_JAN_14.csv
NIFTY    6600  CE   2014-01-30    2014-01-24      6d   11067  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-01-30/NIFTY_6600_CE_30_JAN_14.csv
NIFTY    5600  PE   2014-02-26    2014-02-25      1d    7467  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_5600_PE_26_FEB_14.csv
NIFTY    5700  PE   2014-02-26    2014-02-25      1d    8740  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_5700_PE_26_FEB_14.csv
NIFTY    5800  PE   2014-02-26    2014-02-25      1d    9723  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_5800_PE_26_FEB_14.csv
NIFTY    5900  PE   2014-02-26    2014-02-25      1d   10473  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_5900_PE_26_FEB_14.csv
NIFTY    6000  PE   2014-02-26    2014-02-25      1d   11198  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6000_PE_26_FEB_14.csv
NIFTY    6100  PE   2014-02-26    2014-02-25      1d   11154  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6100_PE_26_FEB_14.csv
NIFTY    6300  CE   2014-02-26    2014-02-25      1d   11248  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6300_CE_26_FEB_14.csv
NIFTY    6400  CE   2014-02-26    2014-02-25      1d   10977  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6400_CE_26_FEB_14.csv
NIFTY    6500  CE   2014-02-26    2014-02-25      1d   10149  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6500_CE_26_FEB_14.csv
NIFTY    6600  CE   2014-02-26    2014-02-25      1d    7598  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-02-26/NIFTY_6600_CE_26_FEB_14.csv
NIFTY    6000  PE   2014-04-24    2014-04-17      7d    8641  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-04-24/NIFTY_6000_PE_24_APR_14.csv
NIFTY    6100  PE   2014-04-24    2014-04-17      7d    8336  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-04-24/NIFTY_6100_PE_24_APR_14.csv
