=== NEAR-EMPTY CSV FILES (1-5 data rows only — likely 1-2 stray trades) ===
Total: 3,927
These files have very few data rows (1-5). Either the strike had almost no
trading activity, or the data is incomplete. Vendor should confirm or backfill.

Format: SYMBOL  STRIKE  OPT  EXPIRY  ROWS  FILEPATH

NIFTY    9550  CE   2017-10-26  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2017/2017-10-26/NIFTY_9550_CE_26_OCT_17.csv
NIFTY   10150  CE   2019-01-31  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-01-31/NIFTY_10150_CE_31_JAN_19.csv
NIFTY   10250  CE   2019-02-28  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-02-28/NIFTY_10250_CE_28_FEB_19.csv
NIFTY   11950  PE   2019-03-28  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-03-28/NIFTY_11950_PE_28_MAR_19.csv
NIFTY   11550  CE   2019-06-06  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-06-06/NIFTY_11550_CE_06_JUN_19.csv
NIFTY   10550  CE   2019-08-09  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10550_CE_09_AUG_19.csv
NIFTY   11550  PE   2019-08-09  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_11550_PE_09_AUG_19.csv
NIFTY   10550  CE   2019-08-14  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-14/NIFTY_10550_CE_14_AUG_19.csv
NIFTY   10650  CE   2019-08-14  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-14/NIFTY_10650_CE_14_AUG_19.csv
NIFTY   11350  PE   2019-08-22  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-22/NIFTY_11350_PE_22_AUG_19.csv
NIFTY   11450  PE   2019-08-22  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-22/NIFTY_11450_PE_22_AUG_19.csv
NIFTY   12050  PE   2019-08-29  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-29/NIFTY_12050_PE_29_AUG_19.csv
NIFTY   11450  PE   2019-09-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-09-05/NIFTY_11450_PE_05_SEP_19.csv
NIFTY   11950  PE   2019-10-03  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-10-03/NIFTY_11950_PE_03_OCT_19.csv
NIFTY   11750  PE   2019-10-10  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-10-10/NIFTY_11750_PE_10_OCT_19.csv
NIFTY   11850  PE   2019-10-10  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-10-10/NIFTY_11850_PE_10_OCT_19.csv
NIFTY   10950  CE   2019-10-24  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-10-24/NIFTY_10950_CE_24_OCT_19.csv
NIFTY   10850  CE   2019-11-28  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-11-28/NIFTY_10850_CE_28_NOV_19.csv
NIFTY   11250  CE   2019-12-26  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-12-26/NIFTY_11250_CE_26_DEC_19.csv
NIFTY   10200  PE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_10200_PE_02_JAN_20.csv
NIFTY   10250  PE   2020-01-02  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_10250_PE_02_JAN_20.csv
NIFTY   11100  CE   2020-01-02  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11100_CE_02_JAN_20.csv
NIFTY   11100  PE   2020-01-02  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11100_PE_02_JAN_20.csv
NIFTY   11150  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11150_CE_02_JAN_20.csv
NIFTY   11200  CE   2020-01-02  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11200_CE_02_JAN_20.csv
NIFTY   11250  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11250_CE_02_JAN_20.csv
NIFTY   11300  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11300_CE_02_JAN_20.csv
NIFTY   11300  PE   2020-01-02  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11300_PE_02_JAN_20.csv
NIFTY   11350  PE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11350_PE_02_JAN_20.csv
NIFTY   11550  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11550_CE_02_JAN_20.csv
NIFTY   11550  PE   2020-01-02  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11550_PE_02_JAN_20.csv
NIFTY   11750  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_11750_CE_02_JAN_20.csv
NIFTY   12750  PE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_12750_PE_02_JAN_20.csv
NIFTY   12800  PE   2020-01-02  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_12800_PE_02_JAN_20.csv
NIFTY   12850  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_12850_CE_02_JAN_20.csv
NIFTY   12900  PE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_12900_PE_02_JAN_20.csv
NIFTY   13000  PE   2020-01-02  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13000_PE_02_JAN_20.csv
NIFTY   13050  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13050_CE_02_JAN_20.csv
NIFTY   13300  CE   2020-01-02  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13300_CE_02_JAN_20.csv
NIFTY   13300  PE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13300_PE_02_JAN_20.csv
NIFTY   13350  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13350_CE_02_JAN_20.csv
NIFTY   13700  CE   2020-01-02  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-02/NIFTY_13700_CE_02_JAN_20.csv
NIFTY   10350  CE   2020-01-09  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_10350_CE_09_JAN_20.csv
NIFTY   10550  CE   2020-01-09  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_10550_CE_09_JAN_20.csv
NIFTY   10800  CE   2020-01-09  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_10800_CE_09_JAN_20.csv
