weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,asset_key,underlying_key
False,BSE_FO,SENSEX50,BSE,1785436199000.0,PE,SENSEX50,SENSEX50,BSE_FO|1149603,75.0,1800.0,1149603.0,75.0,5.0,INDEX,INDEX,SENSEX50 24550 PE 30 JUL 26,24550.0,,BSE_INDEX|SENSEX50,BSE_INDEX|SENSEX50
True,BSE_FO,SENSEX,BSE,1781807399000.0,CE,SENSEX,SENSEX,BSE_FO|1149604,20.0,1000.0,1149604.0,20.0,5.0,INDEX,INDEX,SENSEX 80700 CE 18 JUN 26,80700.0,,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98913,700.0,21000.0,98913.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1230 CE 30 JUN 26,1230.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98914,700.0,21000.0,98914.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1230 PE 30 JUN 26,1230.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98910,700.0,21000.0,98910.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1190 PE 30 JUN 26,1190.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98911,700.0,21000.0,98911.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1210 CE 30 JUN 26,1210.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
True,BSE_FO,SENSEX,BSE,1781202599000.0,CE,SENSEX,SENSEX,BSE_FO|1174605,20.0,1000.0,1174605.0,20.0,5.0,INDEX,INDEX,SENSEX 68100 CE 11 JUN 26,68100.0,,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98912,700.0,21000.0,98912.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1210 PE 30 JUN 26,1210.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,NIFTY,NSE,1782844199000.0,CE,NIFTY,NIFTY,NSE_FO|50973,65.0,1755.0,50973.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 30 JUN 26,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,VARUN BEVERAGES LIMITED,NSE,1782844199000.0,CE,VBL,VBL,NSE_FO|50974,1125.0,50625.0,50974.0,1125.0,5.0,EQUITY,EQUITY,VBL 550 CE 30 JUN 26,550.0,1.0,NSE_EQ|INE200M01039,NSE_EQ|INE200M01039
False,NSE_FO,VARUN BEVERAGES LIMITED,NSE,1782844199000.0,PE,VBL,VBL,NSE_FO|50975,1125.0,50625.0,50975.0,1125.0,5.0,EQUITY,EQUITY,VBL 550 PE 30 JUN 26,550.0,1.0,NSE_EQ|INE200M01039,NSE_EQ|INE200M01039
False,NSE_FO,NIFTY,NSE,1782844199000.0,PE,NIFTY,NIFTY,NSE_FO|50976,65.0,1755.0,50976.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 30 JUN 26,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,NIFTY,NSE,1798568999000.0,CE,NIFTY,NIFTY,NSE_FO|50978,65.0,1755.0,50978.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 29 DEC 26,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,NIFTY,NSE,1798568999000.0,PE,NIFTY,NIFTY,NSE_FO|50979,65.0,1755.0,50979.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 29 DEC 26,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98906,700.0,21000.0,98906.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1150 PE 30 JUN 26,1150.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98907,700.0,21000.0,98907.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1170 CE 30 JUN 26,1170.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98908,700.0,21000.0,98908.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1170 PE 30 JUN 26,1170.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98909,700.0,21000.0,98909.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1190 CE 30 JUN 26,1190.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98902,700.0,21000.0,98902.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1110 PE 30 JUN 26,1110.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98903,700.0,21000.0,98903.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1130 CE 30 JUN 26,1130.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98904,700.0,21000.0,98904.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1130 PE 30 JUN 26,1130.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98905,700.0,21000.0,98905.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1150 CE 30 JUN 26,1150.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,PE,HINDALCO,HINDALCO,NSE_FO|98900,700.0,21000.0,98900.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1090 PE 30 JUN 26,1090.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,HINDALCO  INDUSTRIES  LTD,NSE,1782844199000.0,CE,HINDALCO,HINDALCO,NSE_FO|98901,700.0,21000.0,98901.0,700.0,5.0,EQUITY,EQUITY,HINDALCO 1110 CE 30 JUN 26,1110.0,1.0,NSE_EQ|INE038A01020,NSE_EQ|INE038A01020
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,CE,PREMIERENE,PREMIERENE,NSE_FO|139547,650.0,26000.0,139547.0,650.0,5.0,EQUITY,EQUITY,PREMIERENE 960 CE 25 AUG 26,960.0,1.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,PE,PREMIERENE,PREMIERENE,NSE_FO|139548,650.0,26000.0,139548.0,650.0,5.0,EQUITY,EQUITY,PREMIERENE 960 PE 25 AUG 26,960.0,1.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011
False,NSE_FO,NIFTY,NSE,1814293799000.0,CE,NIFTY,NIFTY,NSE_FO|50981,65.0,1755.0,50981.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 29 JUN 27,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,NIFTY,NSE,1814293799000.0,PE,NIFTY,NIFTY,NSE_FO|50984,65.0,1755.0,50984.0,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 29 JUN 27,27000.0,1.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,CE,PREMIERENE,PREMIERENE,NSE_FO|139535,650.0,26000.0,139535.0,650.0,5.0,EQUITY,EQUITY,PREMIERENE 920 CE 25 AUG 26,920.0,1.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,PE,PREMIERENE,PREMIERENE,NSE_FO|139536,650.0,26000.0,139536.0,650.0,5.0,EQUITY,EQUITY,PREMIERENE 920 PE 25 AUG 26,920.0,1.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011
