segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,NIFTY100 Qualty30,NSE,INDEX,NSE_INDEX|NIFTY100 Qualty30,26048.0,NIFTY100 QUALTY30
BSE_INDEX,BSE India Defence,BSE,INDEX,BSE_INDEX|INDDEF,96.0,INDDEF
NSE_INDEX,Nifty Consumption,NSE,INDEX,NSE_INDEX|Nifty Consumption,26036.0,NIFTY CONSUMPTION
NSE_INDEX,Nifty Rural,NSE,INDEX,NSE_INDEX|Nifty Rural,26125.0,NIFTY RURAL
BSE_INDEX,BSE FINANCIAL SERVCS,BSE,INDEX,BSE_INDEX|FINSER,40.0,FINSER
NSE_INDEX,Nifty CoreHousing,NSE,INDEX,NSE_INDEX|Nifty CoreHousing,26117.0,NIFTY COREHOUSING
NSE_INDEX,Nifty Realty,NSE,INDEX,NSE_INDEX|Nifty Realty,26018.0,NIFTY REALTY
NSE_INDEX,Nifty RailwaysPSU,NSE,INDEX,NSE_INDEX|Nifty RailwaysPSU,26146.0,NIFTY RAILWAYSPSU
BSE_INDEX,BSE INDIA 150,BSE,INDEX,BSE_INDEX|IND150,90.0,IND150
BSE_INDEX,BSE BANKEX,BSE,INDEX,BSE_INDEX|BANKEX,12.0,BANKEX
NSE_INDEX,NIFTY100 ESG,NSE,INDEX,NSE_INDEX|NIFTY100 ESG,26078.0,NIFTY100 ESG
NSE_INDEX,Nifty FPI 150,NSE,INDEX,NSE_INDEX|Nifty FPI 150,26139.0,NIFTY FPI 150
BSE_INDEX,BSE REALTY,BSE,INDEX,BSE_INDEX|REALTY,21.0,REALTY
NSE_INDEX,Nifty InfraLog,NSE,INDEX,NSE_INDEX|Nifty InfraLog,26144.0,NIFTY INFRALOG
BSE_INDEX,BSE SENSEX SIXTY,BSE,INDEX,BSE_INDEX|SNSX60,69.0,SNSX60
BSE_INDEX,BSE 1000,BSE,INDEX,BSE_INDEX|BS1000,83.0,BS1000
NSE_INDEX,Nifty REITs Realty,NSE,INDEX,NSE_INDEX|Nifty REITs Realty,26152.0,NIFTY REITS REALTY
BSE_INDEX,BSE Top 10 Banks,BSE,INDEX,BSE_INDEX|T10BNK,102.0,T10BNK
NSE_INDEX,Nifty EV,NSE,INDEX,NSE_INDEX|Nifty EV,26101.0,NIFTY EV
NSE_INDEX,Nifty IT,NSE,INDEX,NSE_INDEX|Nifty IT,26008.0,NIFTY IT
NSE_INDEX,Nifty PSE,NSE,INDEX,NSE_INDEX|Nifty PSE,26024.0,NIFTY PSE
NSE_INDEX,Nifty 50,NSE,INDEX,NSE_INDEX|Nifty 50,26000.0,NIFTY
NSE_INDEX,Nifty Next 50,NSE,INDEX,NSE_INDEX|Nifty Next 50,26013.0,NIFTYNXT50
BSE_INDEX,BSE INTERNET ECONOMY,BSE,INDEX,BSE_INDEX|INTECO,73.0,INTECO
NSE_INDEX,Nifty IPO,NSE,INDEX,NSE_INDEX|Nifty IPO,26120.0,NIFTY IPO
NSE_INDEX,India VIX,NSE,INDEX,NSE_INDEX|India VIX,26017.0,INDIA VIX
BSE_INDEX,BSE INDIA MFG INDEX,BSE,INDEX,BSE_INDEX|MFG,35.0,MFG
NSE_INDEX,Nifty MNC,NSE,INDEX,NSE_INDEX|Nifty MNC,26022.0,NIFTY MNC
NSE_INDEX,NIFTY IND DIGITAL,NSE,INDEX,NSE_INDEX|NIFTY IND DIGITAL,26077.0,NIFTY IND DIGITAL
NSE_INDEX,NIFTY MICROCAP250,NSE,INDEX,NSE_INDEX|NIFTY MICROCAP250,26076.0,NIFTY MICROCAP250
NSE_INDEX,Nifty Sml250 Q50,NSE,INDEX,NSE_INDEX|Nifty Sml250 Q50,26108.0,NIFTY SML250 Q50
NSE_INDEX,Nifty50 Value 20,NSE,INDEX,NSE_INDEX|Nifty50 Value 20,26045.0,NIFTY50 VALUE 20
NSE_INDEX,NiftyM150Momntm50,NSE,INDEX,NSE_INDEX|NiftyM150Momntm50,26082.0,NIFTYM150MOMNTM50
BSE_INDEX,BSE FOCUSED MIDCAP,BSE,INDEX,BSE_INDEX|FOCMID,77.0,FOCMID
NSE_INDEX,Nifty500 LMS Eql,NSE,INDEX,NSE_INDEX|Nifty500 LMS Eql,26129.0,NIFTY500 LMS EQL
NSE_INDEX,Nifty500 Qlty50,NSE,INDEX,NSE_INDEX|Nifty500 Qlty50,26131.0,NIFTY500 QLTY50
NSE_INDEX,NIFTY INDIA MFG,NSE,INDEX,NSE_INDEX|NIFTY INDIA MFG,26080.0,NIFTY INDIA MFG
NSE_INDEX,Nifty500 Flexicap,NSE,INDEX,NSE_INDEX|Nifty500 Flexicap,26135.0,NIFTY500 FLEXICAP
NSE_INDEX,Nifty50 TR 2x Lev,NSE,INDEX,NSE_INDEX|Nifty50 TR 2x Lev,26043.0,NIFTY50 TR 2X LEV
NSE_INDEX,Nifty100ESGSecLdr,NSE,INDEX,NSE_INDEX|Nifty100ESGSecLdr,26068.0,NIFTY100ESGSECLDR
NSE_INDEX,Nifty Smallcap 500,NSE,INDEX,NSE_INDEX|Nifty Smallcap 500,26151.0,NIFTY SMALLCAP 500
NSE_INDEX,Nifty Multi MQ 50,NSE,INDEX,NSE_INDEX|Nifty Multi MQ 50,26114.0,NIFTY MULTI MQ 50
NSE_INDEX,Nifty AQL 30,NSE,INDEX,NSE_INDEX|Nifty AQL 30,26099.0,NIFTY AQL 30
NSE_INDEX,Nifty500 LowVol50,NSE,INDEX,NSE_INDEX|Nifty500 LowVol50,26132.0,NIFTY500 LOWVOL50
NSE_INDEX,Nifty HighBeta 50,NSE,INDEX,NSE_INDEX|Nifty HighBeta 50,26102.0,NIFTY HIGHBETA 50
BSE_INDEX,BSE DVND STABILITY,BSE,INDEX,BSE_INDEX|BSEDSI,59.0,BSEDSI
BSE_INDEX,BSE 500,BSE,INDEX,BSE_INDEX|BSE500,4.0,BSE500
NSE_INDEX,Nifty200 Alpha 30,NSE,INDEX,NSE_INDEX|Nifty200 Alpha 30,26081.0,NIFTY200 ALPHA 30
NSE_INDEX,Nifty FinSrv25 50,NSE,INDEX,NSE_INDEX|Nifty FinSrv25 50,26065.0,NIFTY FINSRV25 50
NSE_INDEX,Nifty Pvt Bank,NSE,INDEX,NSE_INDEX|Nifty Pvt Bank,26047.0,NIFTY PVT BANK
NSE_INDEX,NIFTY CONSR DURBL,NSE,INDEX,NSE_INDEX|NIFTY CONSR DURBL,26070.0,NIFTY CONSR DURBL
BSE_INDEX,BSE MIDSML PB QLT TLT,BSE,INDEX,BSE_INDEX|BSMSPB,114.0,BSMSPB
NSE_INDEX,Nifty New Consump,NSE,INDEX,NSE_INDEX|Nifty New Consump,26103.0,NIFTY NEW CONSUMP
