Year,Expiry,CSV_Count,Days_Count,Start_Date,End_Date
2014,2014-01-30,12,35,2013-12-12,2014-01-30
2014,2014-02-26,20,32,2014-01-14,2014-02-26
2014,2014-03-27,21,31,2014-02-12,2014-03-27
2014,2014-04-24,18,34,2014-03-04,2014-04-23
2014,2014-05-29,32,58,2014-03-04,2014-05-29
2014,2014-06-26,20,51,2014-04-11,2014-06-26
2014,2014-07-31,22,33,2014-06-16,2014-07-31
2014,2014-08-28,22,38,2014-07-03,2014-08-27
2014,2014-09-25,22,49,2014-07-16,2014-09-25
2014,2014-10-30,22,47,2014-08-14,2014-10-29
2014,2014-11-27,20,43,2014-09-18,2014-11-27
2014,2014-12-24,22,49,2014-10-10,2014-12-24
2015,2015-01-29,28,54,2014-11-13,2015-01-29
2015,2015-02-26,34,50,2014-12-16,2015-02-26
2015,2015-03-26,26,46,2015-01-20,2015-03-26
2015,2015-04-30,24,51,2015-02-13,2015-04-30
2015,2015-05-28,28,49,2015-03-17,2015-05-28
2015,2015-06-25,26,34,2015-05-11,2015-06-25
2015,2015-07-30,24,56,2015-05-14,2015-07-30
2015,2015-08-27,30,51,2015-06-18,2015-08-27
2015,2015-09-24,30,33,2015-08-10,2015-09-24
2015,2015-10-29,30,32,2015-09-10,2015-10-29
2015,2015-11-26,38,31,2015-10-12,2015-11-26
2015,2015-12-31,32,32,2015-11-16,2015-12-31
2016,2016-01-28,34,32,2015-12-14,2016-01-28
2016,2016-02-25,30,31,2016-01-13,2016-02-25
2016,2016-03-31,32,33,2016-02-11,2016-03-31
2016,2016-04-28,26,31,2016-03-10,2016-04-28
2016,2016-05-26,30,31,2016-04-11,2016-05-26
2016,2016-06-30,26,31,2016-05-19,2016-06-30
2016,2016-07-28,40,31,2016-06-15,2016-07-28
2016,2016-08-25,32,31,2016-07-13,2016-08-25
2016,2016-09-29,38,31,2016-08-16,2016-09-29
2016,2016-10-27,35,31,2016-09-12,2016-10-27
2016,2016-11-24,41,31,2016-10-10,2016-11-24
2016,2016-12-29,49,56,2016-10-10,2016-12-29
2017,2017-01-25,34,31,2016-12-14,2017-01-25
2017,2017-02-23,32,20,2017-01-27,2017-02-23
2017,2017-03-30,26,31,2017-02-14,2017-03-30
2017,2017-04-27,36,31,2017-03-14,2017-04-27
2017,2017-05-25,22,31,2017-04-11,2017-05-25
2017,2017-06-29,22,31,2017-05-17,2017-06-29
2017,2017-07-27,38,31,2017-06-14,2017-07-27
2017,2017-08-31,26,31,2017-07-18,2017-08-31
2017,2017-09-28,28,31,2017-08-16,2017-09-28
2017,2017-10-26,42,31,2017-09-12,2017-10-26
2017,2017-11-30,30,31,2017-10-18,2017-11-30
2017,2017-12-28,26,31,2017-11-15,2017-12-28
2018,2018-02-22,50,31,2018-01-09,2018-02-22
2018,2018-03-28,58,62,2017-12-28,2018-03-28
2018,2018-04-26,40,31,2018-03-13,2018-04-26
2018,2018-05-31,39,31,2018-04-18,2018-05-31
2018,2018-06-28,43,31,2018-05-17,2018-06-28
2018,2018-07-26,30,31,2018-06-14,2018-07-26
2018,2018-08-30,41,31,2018-07-17,2018-08-30
2018,2018-09-27,46,31,2018-08-10,2018-09-27
2018,2018-10-25,66,31,2018-09-07,2018-10-25
2018,2018-11-29,42,31,2018-10-15,2018-11-29
2018,2018-12-27,50,31,2018-11-13,2018-12-27
2019,2019-01-31,50,31,2018-12-19,2019-01-31
2019,2019-02-14,34,4,2019-02-11,2019-02-14
