strike_distance_pct,max_total_premium_pct,target_multiplier,window_start,window_finish,expiry_limit,limit_one_trade,results_folder,total_trades,total_profitable,profit_rate,total_pnl,avg_pnl_pct,win_rate,target_hit_rate
0.005,0.0055,2.5,12:30,13:00,10000,1,RV_IV_Analysis_20260324_132239,16,7,43.75,983.16,59.0425925842,34.375,21.875
0.005,0.005,2.5,14:00,14:30,10000,1,RV_IV_Analysis_20260324_083355,15,6,40.0,868.9899999999998,58.56341008347185,33.33333333333333,20.0
0.00375,0.0065,2.5,11:30,12:00,10000,1,RV_IV_Analysis_20260324_061013,16,6,37.5,1219.02,57.59410845798918,37.5,18.75
0.00375,0.0065,2.0,11:30,12:00,10000,1,RV_IV_Analysis_20260324_054730,16,11,68.75,1114.57,53.84279569253468,40.625,34.375
0.00375,0.0065,2.5,12:00,12:30,10000,1,RV_IV_Analysis_20260324_061202,16,6,37.5,1088.7600000000002,52.95560756677583,37.5,18.75
0.005,0.0055,2.5,10:00,10:30,10000,1,RV_IV_Analysis_20260324_131111,15,7,46.66666666666666,873.5,52.922110314776354,33.33333333333333,23.33333333333333
0.005,0.005,2.0,14:00,14:30,10000,1,RV_IV_Analysis_20260324_080957,15,10,66.66666666666666,737.4499999999998,51.3363102415202,36.66666666666666,33.33333333333333
0.005,0.0055,2.0,11:30,12:00,10000,1,RV_IV_Analysis_20260324_125211,15,10,66.66666666666666,1005.5499999999998,51.33624714022132,40.0,33.33333333333333
0.005,0.0055,2.0,12:30,13:00,10000,1,RV_IV_Analysis_20260324_125521,16,10,62.5,844.55,50.77106118462207,37.5,31.25
0.00375,0.0065,2.5,13:30,14:00,10000,1,RV_IV_Analysis_20260324_061743,17,6,35.294117647058826,944.79,48.52450069553446,35.294117647058826,17.647058823529413
0.005,0.0055,2.5,11:30,12:00,10000,1,RV_IV_Analysis_20260324_131805,15,6,40.0,832.55,47.25334951678054,33.33333333333333,20.0
