Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
021 Capital Trust,IN/AIF1/25-26/1857,Jul 23 2025 - Perpetual,manjunath@ascentcapital.in,Manjunath Kallapur,"No1 Ali Askar Road Bangalore 560 052, BANGALORE, KARNATAKA, 560052","No1 Ali Askar Road Bangalore 560 052, BANGALORE, KARNATAKA, 560052",,,KARNATAKA,BANGALORE
021 CAPITAL TRUST,IN/AIF1/17-18/0384,Nov 06 2017 - Perpetual,sailesh@021.capital,Sailesh Tulshan,"No 26, Ozone Residenza, 3 3 Harlur Main Road, HSR Layout, BANGALORE, KARNATAKA, 560102",,,,KARNATAKA,BANGALORE
021 CAPITAL TRUST - II,IN/AIF2/21-22/1013,Mar 14 2022 - Perpetual,saileshtulshan@gmail.com,Sailesh Tulshan,"No. 26, Ozone Residenza,, 3/3 Harlur Main Road,HSR Layout, Bangalore, BANGALORE, KARNATAKA, 560102","No. 26, Ozone Residenza, 3/3 Harlur Main Road,HSR Layout, Bangalore, BANGALORE, KARNATAKA, 560102",,,KARNATAKA,BANGALORE
1000X CAPITAL TRUST,IN/AIF2/25-26/1983,Dec 10 2025 - Perpetual,Info@1000x.co.in,Shivaanii Kedia,"17, Balmukund Mackar Road, 2nd Floor, Room No. 8, KOLKATA, WEST BENGAL, 700007","17, Balmukund Mackar Road, 2nd Floor, Room No. 8, KOLKATA, WEST BENGAL, 700007",,,WEST BENGAL,KOLKATA
1008 Bharat Growth Trust,IN/AIF3/25-26/1864,Jul 29 2025 - Perpetual,1008bharatgrowth@gmail.com,Rajen Gada,"502, The Summit Business Bay, Andheri Kurla Road,, Near Cinemax, Andheri East, Chakala MIDC,, MUMBAI, MAHARASHTRA, 400093","502, The Summit Business Bay, Andheri Kurla Road, Near Cinemax, Andheri East, Chakala MIDC, MUMBAI, MAHARASHTRA, 400093",,,MAHARASHTRA,MUMBAI
100Unicorns,IN/AIF2/23-24/1342,Sep 11 2023 - Perpetual,ankit@9unicorns.in,Ankit Jain,"9th Floor, Unit No1, Times Square, Venture Catalysts Private Limited, B Wing, Near Marol Metro Station, Andheri East, Mumbai., MUMBAI, MAHARASHTRA, 400059","9th Floor, Unit No1, Times Square, Venture Catalysts Private Limited, B Wing, Near Marol Metro Station, Andheri East, Mumbai., MUMBAI, MAHARASHTRA, 400059",,,MAHARASHTRA,MUMBAI
108 Capital Venture Fund,IN/AIF2/23-24/1349,Sep 15 2023 - Perpetual,nk@108.vc,Nimesh Kampani,"104, Shiv Smriti chambers, 49A, Dr. Annie Besant Road, Worli, Mumbai, 400018, MUMBAI, MAHARASHTRA, 400018","104, Shiv Smriti chambers, 49A, Dr. Annie Besant Road, Worli, Mumbai, 400018, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
11H Holdings,IN/AIF3/23-24/1391,Nov 23 2023 - Perpetual,ronak@11hadvisors.com,Ronak Shah,"2B, Samved, Near Sopan Tower, Navrangpura, Ahmedabad, AHMEDABAD, GUJARAT, 380059","2B, Samved, Near Sopan Tower, Navrangpura, Ahmedabad, AHMEDABAD, GUJARAT, 380059",,,GUJARAT,
129 Wealth Trust,IN/AIF3/24-25/1602,Sep 26 2024 - Perpetual,info@paulasset.com,Prasenjit Kumar Paul,"4th Floor DGK 407 The Galleria Action Area1, New Town Parganas, KOLKATA, WEST BENGAL, 700156","4th Floor DGK 407 The Galleria Action Area1, New Town Parganas, KOLKATA, WEST BENGAL, 700156",,,WEST BENGAL,KOLKATA
16 Alpha Alternatives Technologies Fund,IN/AIF3/24-25/1586,Sep 02 2024 - Perpetual,office@16alpha.in,Pushan Jain,"207M Kailash Building, 26 Kasturba Gandhi Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","207M Kailash Building, 26 Kasturba Gandhi Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
