expiry,strike_price,option_type,instrument_key,underlying_spot_price,pcr,ltp,volume,oi,close_price,bid_price,bid_qty,ask_price,ask_qty,prev_oi,vega,theta,gamma,delta,iv,pop
2026-06-16,21200.0,CE,NSE_FO|50435,23989.15,5253.8333,2328.55,0,390.0,2328.55,2760.0,780,2860.6,1690,130.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21200.0,PE,NSE_FO|50436,23989.15,5253.8333,0.05,10906870,2048995.0,0.45,0.0,0,0.05,115895,4676815.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21250.0,CE,NSE_FO|50437,23989.15,1495.75,2281.55,0,260.0,2281.55,2686.7,780,2799.0,780,65.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21250.0,PE,NSE_FO|50438,23989.15,1495.75,0.05,2277210,388895.0,0.45,0.0,0,0.1,3965,828360.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21300.0,CE,NSE_FO|50439,23989.15,1449.0,2229.25,0,390.0,2229.25,2632.9,780,2746.75,1690,65.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21300.0,PE,NSE_FO|50440,23989.15,1449.0,0.05,3760900,565110.0,0.55,0.0,0,0.05,3705,1254565.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21350.0,CE,NSE_FO|50441,23989.15,4366.0,2150.8,0,65.0,2155.75,2589.9,780,2697.15,780,65.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21350.0,PE,NSE_FO|50442,23989.15,4366.0,0.05,563745,283790.0,0.5,0.0,0,0.05,20540,309205.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21400.0,CE,NSE_FO|50450,23989.15,3765.5,1932.8,0,130.0,1932.8,2356.05,130,2794.3,780,130.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21400.0,PE,NSE_FO|50451,23989.15,3765.5,0.05,2125045,489515.0,0.55,0.0,0,0.05,17940,931125.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21450.0,CE,NSE_FO|50452,23989.15,1901.0,2063.25,0,65.0,2068.4,2499.2,780,2610.7,1690,65.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21450.0,PE,NSE_FO|50453,23989.15,1901.0,0.05,533975,123565.0,0.6,0.0,0,0.05,2730,106600.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21500.0,CE,NSE_FO|50454,23989.15,774.5769,2500.0,715,1690.0,2377.5,2490.0,260,2495.15,130,1690.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-06-16,21500.0,PE,NSE_FO|50455,23989.15,774.5769,0.05,9846850,1309035.0,0.7,0.0,0,0.05,9100,4122365.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21550.0,CE,NSE_FO|50456,23989.15,1691.0,1963.7,0,65.0,1967.75,2412.3,130,2461.05,65,65.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,21550.0,PE,NSE_FO|50457,23989.15,1691.0,0.05,402090,109915.0,0.6,0.0,0,0.05,975,80210.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,21600.0,CE,NSE_FO|50458,23989.15,3760.0,1914.3,0,65.0,1918.3,2358.85,780,2459.75,780,65.0,0.0,0.0,0.0,1.0,0.0,99.0
